I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
-53, -82, -29, 68, -12, -56, -136, 19, -117, -195, -151, -117, 
-87, -87, 0, 87, -43, -43, -117, 29, -97, -165, -131, -97, 
-58, -78, -19, 68, -19, -48, -117, 19, -107, -180, -151, -117, 
-14, -29, -14, 21, 0, -21, -107, 43, -78, -136, -107, -73, 
-24, -34, -9, 29, -7, -21, -112, 39, -92, -146, -117, -87, 
-58, -68, -9, 63, -24, -39, -117, 34, -92, -156, -122, -92, 
-63, -68, -4, 65, -29, -36, -97, 63, -58, -131, -87, -53, 
-24, -43, -19, 34, -2, -31, -107, 43, -73, -156, -117, -82, 
-19, -39, -19, 29, 0, -29, -87, 68, -43, -122, -87, -53, 
-9, -29, -19, 19, 4, -24, -92, 43, -73, -146, -112, -82, 
-19, -48, -29, 34, 4, -39, -102, 39, -97, -161, -136, -102, 
-43, -63, -19, 53, -12, -41, -87, 43, -87, -141, -122, -82, 
-24, -48, -24, 36, 0, -36, -102, 24, -107, -161, -136, -107, 
-14, -34, -19, 24, 2, -26, -87, 53, -68, -126, -92, -73, 
4, -29, -34, 12, 19, -31, -92, 53, -97, -141, -107, -82, 
-24, -53, -29, 39, 2, -41, -102, 39, -97, -141, -122, -87, 
-82, -82, 0, 82, -41, -41, -97, 53, -78, -126, -97, -73, 
-68, -92, -24, 80, -21, -58, -97, 48, -87, -151, -126, -92, 
-58, -78, -19, 68, -19, -48, -92, 53, -73, -131, -97, -63, 
-29, -58, -29, 43, 0, -43, -92, 48, -82, -141, -107, -82, 
-19, -48, -29, 34, 4, -39, -87, 43, -97, -146, -122, -97, 
-14, -29, -14, 21, 0, -21, -73, 58, -78, -126, -107, -73, 
-34, -34, 0, 34, -17, -17, -82, 39, -107, -146, -122, -102, 
-82, -78, 4, 80, -43, -36, -82, 34, -97, -122, -117, -87, 
-78, -97, -19, 87, -29, -58, -102, 24, -122, -151, -136, -112, 
-78, -107, -29, 92, -24, -68, -107, 19, -107, -151, -136, -112, 
-78, -97, -19, 87, -29, -58, -92, 48, -92, -126, -102, -78, 
-43, -82, -39, 63, -2, -61, -82, 53, -97, -141, -126, -87, 
-43, -73, -29, 58, -7, -51, -68, 68, -82, -117, -107, -68, 
-34, -78, -43, 56, 4, -61, -87, 48, -92, -126, -117, -82, 
-29, -63, -34, 46, 2, -48, -73, 58, -97, -112, -112, -78, 
-29, -34, -4, 31, -12, -19, -78, 34, -107, -107, -131, -97, 
-73, -68, 4, 70, -39, -31, -87, 39, -112, -87, -117, -87, 
-58, -68, -9, 63, -24, -39, -87, 24, -141, -112, -151, -107, 
-53, -82, -29, 68, -12, -56, -82, 34, -122, -92, -136, -92, 
-58, -92, -34, 75, -12, -63, -78, 39, -117, -87, -131, -102, 
-87, -122, -34, 104, -26, -78, -92, 4, -156, -117, -156, -131, 
-126, -165, -39, 146, -43, -102, -82, 29, -126, -92, -136, -112, 
-82, -126, -43, 104, -19, -85, -73, 34, -136, -107, -141, -117, 
-68, -112, -43, 90, -12, -78, -73, 34, -117, -92, -126, -92, 
-63, -92, -29, 78, -17, -61, -58, 58, -107, -82, -112, -82, 
-43, -68, -24, 56, -9, -46, -68, 29, -131, -102, -136, -112, 
-24, -43, -19, 34, -2, -31, -53, 63, -87, -68, -102, -73, 
34, 29, -4, -31, 19, 12, -43, 63, -92, -78, -102, -78, 
4, -9, -14, 2, 9, -12, -43, 68, -97, -78, -102, -68, 
-39, -39, 0, 39, -19, -19, -43, 68, -92, -82, -107, -78, 
-73, -73, 0, 73, -36, -36, -58, 39, -122, -107, -131, -97, 
-63, -82, -19, 73, -21, -51, -43, 53, -92, -107, -112, -82, 
4, -19, -24, 7, 14, -21, -43, 53, -102, -131, -112, -87, 
-9, -34, -24, 21, 7, -29, -53, 48, -97, -136, -102, -73, 
-19, -29, -9, 24, -4, -19, -39, 63, -102, -131, -107, -78, 
-4, -14, -9, 9, 2, -12, -43, 39, -122, -146, -122, -87, 
-9, -24, -14, 17, 2, -19, -39, 58, -97, -131, -97, -73, 
4, -9, -14, 2, 9, -12, -34, 48, -131, -156, -126, -92, 
-48, -63, -14, 56, -17, -39, -43, 48, -122, -146, -112, -78, 
-53, -63, -9, 58, -21, -36, -24, 63, -107, -151, -107, -78, 
-68, -82, -14, 75, -26, -48, -39, 48, -126, -180, -131, -102, 
-87, -97, -9, 92, -39, -53, -29, 53, -107, -165, -107, -87, 
-24, -48, -24, 36, 0, -36, -19, 58, -112, -180, -112, -82, 
-24, -58, -34, 41, 4, -46, -29, 53, -92, -190, -102, -68, 
0, -19, -19, 9, 9, -19, -19, 58, -97, -190, -97, -73, 
-14, -29, -14, 21, 0, -21, -39, 34, -131, -209, -131, -92, 
-78, -82, -4, 80, -36, -43, -34, 58, -117, -195, -117, -97, 
-53, -39, 14, 46, -34, -12, -24, 48, -131, -214, -126, -97, 
-39, -34, 4, 36, -21, -14, -14, 73, -92, -190, -92, -63, 
19, -14, -34, -2, 26, -24, -14, 68, -92, -190, -97, -73, 
9, -29, -39, 9, 24, -34, -29, 58, -107, -214, -112, -82, 
-29, -63, -34, 46, 2, -48, -19, 68, -92, -190, -92, -68, 
-4, -48, -43, 26, 19, -46, -19, 58, -102, -204, -102, -82, 
-39, -87, -48, 63, 4, -68, -29, 53, -112, -204, -112, -82, 
-63, -78, -14, 70, -24, -46, -19, 48, -112, -204, -117, -92, 
-53, -82, -29, 68, -12, -56, -24, 39, -117, -209, -122, -102, 
-53, -92, -39, 73, -7, -65, -19, 53, -107, -195, -112, -92, 
-39, -53, -14, 46, -12, -34, -14, 58, -117, -204, -117, -82, 
-53, -58, -4, 56, -24, -31, -14, 63, -102, -185, -112, -87, 
-9, -39, -29, 24, 9, -34, -4, 63, -102, -170, -112, -82, 
9, -19, -29, 4, 19, -24, -19, 68, -102, -175, -107, -78, 
-39, -43, -4, 41, -17, -24, 0, 82, -78, -146, -87, -58, 
-34, -48, -14, 41, -9, -31, -24, 43, -102, -170, -117, -82, 
-58, -78, -19, 68, -19, -48, -24, 48, -102, -170, -126, -82, 
-63, -68, -4, 65, -29, -36, -19, 48, -97, -156, -117, -82, 
-43, -48, -4, 46, -19, -26, -14, 58, -68, -131, -87, -63, 
-9, -24, -14, 17, 2, -19, -9, 68, -53, -102, -63, -53, 
-39, -53, -14, 46, -12, -34, -19, 58, -58, -97, -78, -48, 
-58, -53, 4, 56, -31, -24, -14, 53, -53, -92, -68, -48, 
-43, -34, 9, 39, -26, -12, -19, 43, -58, -87, -82, -63, 
-58, -29, 29, 43, -43, 0, -14, 48, -39, -87, -78, -48, 
-48, -9, 39, 29, -43, 14, -19, 43, -43, -87, -73, -53, 
-34, 0, 34, 17, -34, 17, -39, 29, -53, -102, -92, -68, 
0, 19, 19, -9, -9, 19, -24, 43, -43, -97, -78, -53, 
34, 53, 19, -43, 7, 36, -24, 43, -43, -78, -78, -53, 
19, 48, 29, -34, -4, 39, -9, 58, -29, -43, -53, -39, 
9, 53, 43, -31, -17, 48, -9, 63, -24, -24, -48, -19, 
-4, 48, 53, -21, -29, 51, -29, 43, -29, -39, -68, -29, 
-14, 39, 53, -12, -34, 46, -14, 48, -34, -24, -48, -24, 
4, 43, 39, -24, -17, 41, -34, 34, -34, -34, -73, -39, 
-24, 39, 63, -7, -43, 51, -43, 19, -39, -53, -68, -43, 
24, 68, 43, -46, -9, 56, -48, 14, -48, -63, -78, -43, 
29, 58, 29, -43, 0, 43, -58, -9, -73, -73, -97, -68, 
0, 39, 39, -19, -19, 39, -63, -24, -82, -82, -97, -63, 
-29, 29, 58, 0, -43, 43, -68, -34, -102, -87, -117, -87, 
-73, 0, 73, 36, -73, 36, -73, -24, -112, -82, -92, -73, 
-78, -4, 73, 41, -75, 34, -92, -43, -117, -82, -97, -68, 
-73, -19, 53, 46, -63, 17, -92, -29, -126, -92, -107, -73, 
-68, -14, 53, 41, -61, 19, -68, -24, -126, -82, -92, -63, 
-4, 19, 24, -7, -14, 21, -73, -9, -107, -97, -97, -53, 
19, 48, 29, -34, -4, 39, -58, 9, -87, -82, -68, -29, 
68, 87, 19, -78, 24, 53, -39, 19, -63, -63, -48, -14, 
92, 97, 4, -95, 43, 51, -34, 29, -73, -68, -58, -24, 
39, 63, 24, -51, 7, 43, -29, 24, -87, -63, -63, -29, 
19, 34, 14, -26, 2, 24, -34, 19, -92, -68, -78, -39, 
19, 29, 9, -24, 4, 19, -24, 29, -97, -68, -58, -29, 
48, 48, 0, -48, 24, 24, -19, 43, -87, -63, -48, -4, 
29, 29, 0, -29, 14, 14, -29, 34, -102, -87, -73, -29, 
9, 0, -9, -4, 9, -4, -14, 34, -107, -87, -63, -24, 
0, -4, -4, 2, 2, -4, -19, 24, -126, -102, -92, -48, 
-43, -29, 14, 36, -29, -7, -9, 29, -126, -107, -87, -48, 
-43, -39, 4, 41, -24, -17, -4, 14, -117, -126, -97, -53, 
-4, -29, -24, 17, 9, -26, 4, 29, -112, -136, -92, -58, 
