I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
82, 68, -14, -75, 48, 26, 34, 39, -43, -53, -34, -24, 
48, 43, -4, -46, 26, 19, 29, 34, -68, -68, -53, -39, 
-9, 0, 9, 4, -9, 4, 14, 14, -87, -82, -78, -48, 
-39, 0, 39, 19, -39, 19, 14, 9, -92, -102, -82, -48, 
-14, -9, 4, 12, -9, -2, 4, -4, -97, -112, -102, -73, 
-9, -34, -24, 21, 7, -29, 4, 0, -112, -131, -117, -87, 
-24, -24, 0, 24, -12, -12, 9, 0, -112, -126, -112, -82, 
-24, -29, -4, 26, -9, -17, 4, -9, -117, -131, -102, -78, 
-24, -34, -9, 29, -7, -21, 19, 14, -102, -122, -87, -73, 
-4, -19, -14, 12, 4, -17, 14, 19, -102, -117, -78, -58, 
-9, -34, -24, 21, 7, -29, 9, 14, -92, -117, -73, -53, 
-43, -48, -4, 46, -19, -26, 24, 19, -102, -122, -82, -48, 
-43, -68, -24, 56, -9, -46, 19, 24, -102, -117, -82, -53, 
-39, -68, -29, 53, -4, -48, 19, 14, -107, -131, -97, -68, 
-34, -58, -24, 46, -4, -41, 19, 24, -122, -131, -102, -73, 
-34, -53, -19, 43, -7, -36, 19, 14, -122, -156, -117, -82, 
-29, -48, -19, 39, -4, -34, 14, 4, -136, -165, -131, -97, 
-73, -87, -14, 80, -29, -51, -4, -24, -165, -185, -146, -117, 
-146, -151, -4, 148, -70, -78, -24, -58, -195, -214, -170, -141, 
-156, -170, -14, 163, -70, -92, -29, -43, -190, -229, -175, -151, 
-43, -53, -9, 48, -17, -31, 4, -4, -131, -190, -107, -92, 
82, 58, -24, -70, 53, 17, 39, 43, -78, -151, -53, -34, 
107, 87, -19, -97, 63, 34, 48, 63, -68, -141, -43, -19, 
58, 39, -19, -48, 39, 9, 53, 43, -87, -151, -63, -24, 
24, 0, -24, -12, 24, -12, 39, 29, -107, -180, -92, -53, 
34, 4, -29, -19, 31, -12, 39, 29, -107, -180, -82, -48, 
43, 9, -34, -26, 39, -12, 39, 24, -117, -204, -92, -63, 
63, 14, -48, -39, 56, -17, 24, 24, -117, -209, -102, -78, 
29, -14, -43, -7, 36, -29, 29, 4, -136, -214, -107, -73, 
-9, -24, -14, 17, 2, -19, 24, 14, -136, -224, -122, -87, 
-14, -19, -4, 17, -4, -12, 34, 0, -131, -214, -107, -73, 
0, -29, -29, 14, 14, -29, 39, 4, -131, -204, -112, -78, 
-19, -29, -9, 24, -4, -19, 24, 4, -131, -200, -117, -78, 
-39, -34, 4, 36, -21, -14, 29, 9, -126, -195, -107, -63, 
-29, -48, -19, 39, -4, -34, 19, 19, -131, -200, -122, -78, 
-29, -43, -14, 36, -7, -29, 29, 14, -126, -185, -112, -73, 
-29, -48, -19, 39, -4, -34, 24, 4, -141, -204, -122, -92, 
-14, -29, -14, 21, 0, -21, 24, 24, -126, -195, -107, -78, 
4, -19, -24, 7, 14, -21, 19, 24, -126, -180, -102, -68, 
4, -24, -29, 9, 17, -26, 4, 19, -146, -190, -122, -97, 
-24, -39, -14, 31, -4, -26, 29, 24, -131, -180, -107, -73, 
-48, -63, -14, 56, -17, -39, 29, 4, -146, -190, -122, -82, 
-48, -68, -19, 58, -14, -43, 29, 14, -151, -200, -117, -87, 
-53, -92, -39, 73, -7, -65, 19, 9, -141, -175, -117, -82, 
-63, -82, -19, 73, -21, -51, 19, 14, -146, -185, -136, -97, 
-29, -48, -19, 39, -4, -34, 19, 14, -126, -180, -112, -78, 
-9, -34, -24, 21, 7, -29, 24, 19, -126, -180, -107, -87, 
-9, -39, -29, 24, 9, -34, 29, 29, -126, -180, -117, -97, 
-4, -48, -43, 26, 19, -46, 24, 4, -136, -190, -122, -97, 
-24, -63, -39, 43, 7, -51, 14, 0, -151, -195, -136, -107, 
-29, -58, -29, 43, 0, -43, 19, 4, -141, -190, -126, -87, 
-9, -48, -39, 29, 14, -43, 19, 9, -151, -190, -126, -82, 
-19, -58, -39, 39, 9, -48, 14, 4, -156, -190, -136, -97, 
-73, -97, -24, 85, -24, -61, 9, -14, -161, -180, -126, -92, 
-117, -131, -14, 124, -51, -73, 9, -14, -170, -200, -151, -117, 
-156, -165, -9, 161, -73, -87, 4, -29, -180, -209, -165, -126, 
-126, -146, -19, 136, -53, -82, 0, -19, -170, -214, -156, -131, 
-24, -58, -34, 41, 4, -46, 19, 19, -136, -180, -126, -102, 
14, 0, -14, -7, 14, -7, 24, 19, -117, -156, -102, -68, 
14, -4, -19, -4, 17, -12, 29, 24, -122, -156, -107, -78, 
4, -24, -29, 9, 17, -26, 19, 9, -136, -156, -112, -87, 
19, -29, -48, 4, 34, -39, 14, 0, -151, -170, -122, -97, 
48, -9, -58, -19, 53, -34, 29, 19, -131, -161, -117, -82, 
34, 4, -29, -19, 31, -12, 29, 29, -112, -146, -97, -68, 
0, -14, -14, 7, 7, -14, 43, 34, -122, -151, -117, -82, 
-43, -48, -4, 46, -19, -26, 48, 24, -136, -151, -117, -78, 
-58, -73, -14, 65, -21, -43, 34, 9, -151, -170, -136, -107, 
-43, -82, -39, 63, -2, -61, 14, 4, -161, -180, -151, -126, 
-58, -97, -39, 78, -9, -68, 4, -9, -175, -185, -156, -126, 
-63, -97, -34, 80, -14, -65, 9, 4, -161, -165, -131, -112, 
-29, -34, -4, 31, -12, -19, 29, 9, -141, -161, -112, -97, 
-48, -29, 19, 39, -34, -4, 34, 9, -131, -146, -97, -82, 
-24, -9, 14, 17, -19, 2, 43, 29, -126, -136, -87, -63, 
0, -14, -14, 7, 7, -14, 43, 29, -136, -161, -107, -78, 
-24, -58, -34, 41, 4, -46, 19, 4, -156, -170, -131, -97, 
-9, -48, -39, 29, 14, -43, 19, 4, -141, -170, -126, -102, 
24, -24, -48, 0, 36, -36, 24, 24, -136, -175, -122, -97, 
29, -4, -34, -12, 31, -19, 29, 24, -126, -161, -107, -78, 
24, -4, -29, -9, 26, -17, 19, 9, -141, -175, -126, -102, 
-4, -19, -14, 12, 4, -17, 24, 19, -122, -156, -102, -82, 
-9, -14, -4, 12, -2, -9, 34, 14, -136, -161, -102, -87, 
-34, -58, -24, 46, -4, -41, 39, 14, -141, -170, -112, -92, 
-39, -53, -14, 46, -12, -34, 48, 29, -131, -156, -107, -73, 
-19, -53, -34, 36, 7, -43, 34, 19, -136, -175, -117, -82, 
-19, -58, -39, 39, 9, -48, 29, 9, -146, -175, -131, -97, 
0, -43, -43, 21, 21, -43, 24, 9, -136, -175, -122, -97, 
-24, -73, -48, 48, 12, -61, 14, 4, -141, -185, -141, -107, 
-53, -102, -48, 78, -2, -75, 19, 9, -141, -175, -136, -107, 
-58, -112, -53, 85, -2, -82, 19, 0, -165, -195, -156, -126, 
-73, -107, -34, 90, -19, -70, 24, 9, -156, -175, -131, -107, 
-48, -39, 9, 43, -29, -14, 29, 9, -141, -156, -117, -92, 
-34, -39, -4, 36, -14, -21, 34, 14, -136, -146, -117, -87, 
-29, -29, 0, 29, -14, -14, 39, 29, -131, -136, -107, -73, 
4, -34, -39, 14, 21, -36, 34, 24, -136, -151, -126, -92, 
24, -48, -73, 12, 48, -61, 29, 24, -136, -136, -126, -92, 
19, -39, -58, 9, 39, -48, 29, 19, -136, -131, -117, -87, 
4, -53, -58, 24, 31, -56, 48, 34, -131, -131, -112, -82, 
4, -48, -53, 21, 29, -51, 43, 34, -126, -126, -117, -82, 
-19, -63, -43, 41, 12, -53, 14, 4, -156, -151, -146, -112, 
-63, -97, -34, 80, -14, -65, 19, 0, -156, -141, -136, -107, 
-117, -136, -19, 126, -48, -78, 14, -24, -190, -161, -165, -136, 
-170, -190, -19, 180, -75, -104, 4, -34, -209, -175, -180, -151, 
-126, -156, -29, 141, -48, -92, 24, -19, -190, -165, -165, -136, 
-39, -82, -43, 61, 2, -63, 19, 4, -170, -151, -146, -122, 
53, -14, -68, -19, 61, -41, 34, 39, -117, -122, -92, -73, 
112, 39, -73, -75, 92, -17, 43, 58, -87, -102, -82, -53, 
53, 0, -53, -26, 53, -26, 43, 39, -112, -107, -97, -68, 
-4, -34, -29, 19, 12, -31, 39, 34, -126, -112, -107, -78, 
-19, -48, -29, 34, 4, -39, 24, 14, -146, -136, -131, -102, 
-14, -53, -39, 34, 12, -46, 29, 9, -141, -141, -122, -87, 
4, -29, -34, 12, 19, -31, 29, 9, -146, -136, -122, -97, 
-29, -53, -24, 41, -2, -39, 24, 9, -156, -146, -126, -102, 
-43, -68, -24, 56, -9, -46, 29, 4, -156, -136, -126, -97, 
-63, -97, -34, 80, -14, -65, 19, -9, -190, -175, -151, -117, 
-92, -117, -24, 104, -34, -70, 14, -4, -170, -170, -136, -112, 
-82, -112, -29, 97, -26, -70, 19, 4, -156, -161, -131, -102, 
-58, -107, -48, 82, -4, -78, 29, 14, -151, -161, -131, -97, 
-14, -63, -48, 39, 17, -56, 34, 19, -136, -161, -117, -87, 
-39, -78, -39, 58, 0, -58, 34, 19, -146, -151, -122, -92, 
-43, -78, -34, 61, -4, -56, 39, 24, -136, -146, -107, -68, 
-24, -48, -24, 36, 0, -36, 43, 19, -141, -161, -117, -87, 
29, -14, -43, -7, 36, -29, 34, 34, -126, -156, -107, -73, 
63, 9, -53, -36, 58, -21, 48, 34, -126, -146, -102, -68, 
24, -34, -58, 4, 41, -46, 39, 9, -156, -180, -136, -102, 
-24, -78, -53, 51, 14, -65, 29, 9, -165, -185, -141, -107, 
-43, -97, -53, 70, 4, -75, 14, -9, -180, -200, -156, -131, 
-53, -92, -39, 73, -7, -65, 29, 14, -151, -185, -131, -102, 
-19, -53, -34, 36, 7, -43, 34, 14, -141, -175, -122, -87, 
-63, -92, -29, 78, -17, -61, 24, -4, -161, -190, -136, -107, 
-73, -112, -39, 92, -17, -75, 19, 0, -161, -190, -131, -97, 
-73, -112, -39, 92, -17, -75, 9, -9, -175, -204, -151, -117, 
-68, -92, -24, 80, -21, -58, 14, -4, -165, -200, -136, -107, 
-4, -24, -19, 14, 7, -21, 34, 24, -136, -180, -112, -87, 
24, 4, -19, -14, 21, -7, 43, 29, -131, -180, -117, -78, 
43, 34, -9, -39, 26, 12, 58, 43, -112, -165, -92, -63, 
34, 14, -19, -24, 26, -2, 39, 29, -126, -180, -107, -87, 
19, -19, -39, 0, 29, -29, 34, 29, -126, -185, -112, -82, 
29, -14, -43, -7, 36, -29, 39, 34, -122, -185, -97, -73, 
19, -19, -39, 0, 29, -29, 29, 29, -126, -180, -107, -78, 
24, -24, -48, 0, 36, -36, 29, 14, -117, -156, -97, -73, 
19, -19, -39, 0, 29, -29, 24, 9, -117, -175, -112, -82, 
9, -9, -19, 0, 14, -14, 24, 9, -112, -165, -97, -68, 
14, 14, 0, -14, 7, 7, 19, 14, -107, -165, -97, -63, 
-4, -4, 0, 4, -2, -2, 9, -4, -122, -175, -112, -82, 
14, 14, 0, -14, 7, 7, 0, 4, -102, -161, -102, -78, 
39, 34, -4, -36, 21, 14, 4, 4, -92, -151, -102, -73, 
14, 9, -4, -12, 9, 2, 19, 9, -78, -131, -87, -58, 
-24, -9, 14, 17, -19, 2, 14, -4, -82, -136, -92, -78, 
-43, -9, 34, 26, -39, 12, 4, -9, -82, -141, -92, -82, 
-14, 19, 34, -2, -24, 26, 19, 4, -58, -112, -63, -48, 
-9, 29, 39, -9, -24, 34, 0, -9, -87, -126, -87, -73, 
-34, 9, 43, 12, -39, 26, -19, -24, -102, -141, -107, -82, 
-53, -9, 43, 31, -48, 17, -29, -39, -107, -136, -112, -87, 
-63, -34, 29, 48, -46, -2, -24, -34, -117, -151, -126, -92, 
-63, -24, 39, 43, -51, 7, -29, -34, -112, -146, -122, -92, 
-39, -9, 29, 24, -34, 9, -39, -48, -107, -151, -126, -102, 
-24, 4, 29, 9, -26, 17, -24, -29, -78, -117, -87, -63, 
24, 53, 29, -39, -2, 41, -48, -43, -87, -122, -92, -63, 
19, 63, 43, -41, -12, 53, -53, -53, -97, -122, -87, -63, 
-9, 29, 39, -9, -24, 34, -63, -63, -117, -131, -87, -58, 
-19, 4, 24, 7, -21, 14, -58, -78, -151, -156, -117, -82, 
4, 24, 19, -14, -7, 21, -73, -82, -156, -156, -112, -82, 
58, 63, 4, -61, 26, 34, -48, -48, -141, -146, -97, -58, 
48, 68, 19, -58, 14, 43, -43, -48, -141, -156, -112, -68, 
-14, 24, 39, -4, -26, 31, -48, -58, -151, -161, -126, -82, 
-14, 9, 24, 2, -19, 17, -63, -73, -161, -175, -136, -102, 
24, 4, -19, -14, 21, -7, -63, -48, -141, -161, -117, -78, 
68, 34, -34, -51, 51, 0, -43, -24, -117, -136, -87, -58, 
43, 34, -9, -39, 26, 12, -29, 0, -82, -112, -48, -24, 
68, 58, -9, -63, 39, 24, -14, -4, -97, -112, -48, -14, 
97, 58, -39, -78, 68, 9, -14, -9, -117, -136, -78, -34, 
48, 24, -24, -36, 36, 0, -9, -24, -146, -156, -112, -63, 
24, -14, -39, -4, 31, -26, -19, -43, -175, -165, -131, -78, 
29, -19, -48, -4, 39, -34, -19, -39, -165, -161, -136, -87, 
78, 19, -58, -48, 68, -19, -9, -9, -141, -141, -107, -58, 
39, 4, -34, -21, 36, -14, 0, 9, -126, -136, -92, -58, 
-14, -39, -24, 26, 4, -31, 9, 9, -117, -122, -87, -58, 
-43, -58, -14, 51, -14, -36, 9, 9, -131, -122, -97, -63, 
-19, -29, -9, 24, -4, -19, 9, 0, -126, -131, -97, -63, 
19, -4, -24, -7, 21, -14, 19, 0, -136, -136, -102, -63, 
0, -29, -29, 14, 14, -29, 24, 0, -151, -156, -122, -87, 
9, -29, -39, 9, 24, -34, 24, 4, -170, -170, -136, -102, 
4, -53, -58, 24, 31, -56, 29, -4, -190, -180, -156, -112, 
-29, -87, -58, 58, 14, -73, 34, 9, -190, -195, -170, -126, 
-24, -97, -73, 61, 24, -85, 39, 24, -190, -190, -161, -112, 
-14, -97, -82, 56, 34, -90, 29, 34, -175, -190, -151, -107, 
4, -73, -78, 34, 41, -75, 43, 43, -146, -180, -126, -92, 
0, -63, -63, 31, 31, -63, 39, 39, -151, -180, -126, -82, 
-19, -92, -73, 56, 26, -82, 34, 19, -165, -204, -141, -102, 
-29, -102, -73, 65, 21, -87, 34, 14, -180, -214, -151, -107, 
-39, -97, -58, 68, 9, -78, 19, 0, -195, -229, -161, -122, 
-24, -68, -43, 46, 9, -56, 34, 14, -190, -224, -161, -117, 
-24, -82, -58, 53, 17, -70, 39, 4, -185, -229, -161, -117, 
-24, -73, -48, 48, 12, -61, 39, 19, -180, -224, -156, -117, 
-19, -63, -43, 41, 12, -53, 43, 29, -165, -209, -141, -97, 
-34, -92, -58, 63, 12, -75, 34, 14, -180, -219, -156, -122, 
-34, -102, -68, 68, 17, -85, 39, 19, -170, -214, -141, -117, 
-53, -117, -63, 85, 4, -90, 43, 29, -161, -204, -136, -92, 
-53, -107, -53, 80, 0, -80, 53, 39, -156, -219, -126, -97, 
-14, -78, -63, 46, 24, -70, 39, 24, -170, -234, -131, -102, 
4, -82, -87, 39, 46, -85, 34, 24, -156, -214, -141, -112, 
9, -58, -68, 24, 39, -63, 63, 39, -117, -200, -131, -107, 
9, -58, -68, 24, 39, -63, 78, 53, -78, -190, -141, -117, 
-34, -97, -63, 65, 14, -80, 102, 82, -24, -175, -156, -141, 
-82, -136, -53, 109, -14, -95, 117, 87, 14, -156, -165, -156, 
-136, -170, -34, 153, -51, -102, 126, 102, 73, -136, -161, -165, 
-92, -97, -4, 95, -43, -51, 112, 107, 165, -58, -112, -136, 
-14, 24, 39, -4, -26, 31, 102, 107, 297, 43, -29, -73, 
-9, 87, 97, -39, -53, 92, 92, 117, 409, 146, 39, -39, 
-19, 136, 156, -58, -87, 146, 73, 107, 531, 268, 126, 24, 
-24, 209, 234, -92, -129, 222, 53, 87, 649, 400, 224, 87, 
19, 268, 248, -143, -114, 258, 29, 102, 775, 590, 405, 234, 
102, 336, 234, -219, -65, 285, -29, 97, 941, 829, 668, 463, 
170, 429, 258, -300, -43, 344, -102, 63, 1019, 1049, 932, 678, 
244, 570, 326, -407, -41, 448, -195, -24, 946, 1190, 1137, 883, 
336, 736, 400, -536, -31, 568, -278, -117, 756, 1278, 1312, 1068, 
361, 893, 531, -627, -85, 712, -405, -307, 370, 1278, 1415, 1176, 
317, 971, 653, -644, -168, 812, -551, -512, -82, 1200, 1449, 1244, 
292, 985, 692, -639, -200, 839, -619, -629, -531, 1098, 1459, 1283, 
287, 888, 600, -588, -156, 744, -610, -639, -1005, 946, 1420, 1249, 
248, 688, 439, -468, -95, 563, -536, -570, -1346, 756, 1293, 1156, 
204, 488, 283, -346, -39, 385, -453, -497, -1556, 536, 1068, 971, 
165, 361, 195, -263, -14, 278, -400, -458, -1708, 297, 814, 746, 
107, 278, 170, -192, -31, 224, -346, -419, -1864, 9, 522, 507, 
87, 219, 131, -153, -21, 175, -317, -434, -2078, -429, 117, 180, 
24, 68, 43, -46, -9, 56, -234, -351, -2156, -834, -297, -131, 
-34, -39, -4, 36, -14, -21, -161, -283, -2147, -1146, -668, -439, 
-58, -48, 9, 53, -34, -19, -151, -283, -2083, -1351, -893, -614, 
-82, -48, 34, 65, -58, -7, -136, -268, -1952, -1400, -976, -658, 
-63, -34, 29, 48, -46, -2, -151, -248, -1742, -1337, -932, -634, 
-68, -39, 29, 53, -48, -4, -151, -219, -1468, -1107, -746, -507, 
-39, -39, 0, 39, -19, -19, -161, -219, -1273, -932, -629, -448, 
-9, -24, -14, 17, 2, -19, -165, -209, -1058, -780, -517, -375, 
-24, -9, 14, 17, -19, 2, -170, -224, -878, -629, -434, -322, 
14, 34, 19, -24, -2, 26, -200, -248, -761, -561, -385, -302, 
4, 29, 24, -17, -9, 26, -175, -204, -614, -448, -302, -244, 
-14, 9, 24, 2, -19, 17, -136, -161, -478, -351, -244, -195, 
-14, -4, 9, 9, -12, 2, -92, -107, -361, -258, -180, -141, 
-14, -4, 9, 9, -12, 2, -53, -58, -253, -175, -122, -82, 
0, -9, -9, 4, 4, -9, -43, -58, -214, -161, -122, -92, 
-53, -68, -14, 61, -19, -41, -14, -29, -170, -107, -112, -92, 
-107, -112, -4, 109, -51, -58, 4, -24, -156, -102, -131, -112, 
-87, -107, -19, 97, -34, -63, 9, -4, -122, -82, -112, -117, 
-43, -82, -39, 63, -2, -61, 29, 24, -87, -53, -102, -102, 
4, -87, -92, 41, 48, -90, 24, 9, -82, -58, -107, -112, 
4, -82, -87, 39, 46, -85, 14, 24, -58, -29, -87, -92, 
24, -39, -63, 7, 43, -51, 34, 43, -34, -4, -92, -78, 
14, -39, -53, 12, 34, -46, 39, 43, -24, 14, -82, -78, 
-24, -97, -73, 61, 24, -85, 43, 43, -19, 48, -78, -78, 
-39, -107, -68, 73, 14, -87, 39, 19, -29, 43, -82, -87, 
-58, -117, -58, 87, 0, -87, 53, 39, -9, 63, -63, -82, 
-43, -92, -48, 68, 2, -70, 58, 39, 0, 58, -68, -68, 
-24, -68, -43, 46, 9, -56, 53, 48, 4, 48, -58, -63, 
-9, -58, -48, 34, 19, -53, 39, 48, 14, 43, -58, -58, 
4, -48, -53, 21, 29, -51, 34, 43, 9, 19, -68, -63, 
-9, -63, -53, 36, 21, -58, 48, 63, 34, 24, -48, -43, 
4, -53, -58, 24, 31, -56, 48, 53, 29, 4, -73, -53, 
24, -43, -68, 9, 46, -56, 39, 53, 39, 0, -48, -39, 
19, -29, -48, 4, 34, -39, 53, 73, 58, 9, -29, -19, 
9, -29, -39, 9, 24, -34, 63, 53, 53, 9, -34, -29, 
-9, -43, -34, 26, 12, -39, 53, 48, 43, 9, -39, -39, 
-14, -58, -43, 36, 14, -51, 39, 39, 34, -19, -58, -48, 
-14, -53, -39, 34, 12, -46, 39, 39, 34, -14, -63, -53, 
-4, -43, -39, 24, 17, -41, 43, 58, 53, -4, -48, -39, 
29, -24, -53, -2, 41, -39, 48, 53, 48, -9, -53, -43, 
24, -39, -63, 7, 43, -51, 43, 73, 78, 0, -24, -24, 
-4, -53, -48, 29, 21, -51, 48, 63, 78, -9, -43, -29, 
0, -48, -48, 24, 24, -48, 58, 63, 78, 4, -34, -29, 
14, -43, -58, 14, 36, -51, 58, 58, 63, -19, -68, -53, 
-4, -43, -39, 24, 17, -41, 58, 68, 87, 14, -34, -24, 
14, -29, -43, 7, 29, -36, 68, 82, 87, 29, -29, -24, 
0, -34, -34, 17, 17, -34, 58, 68, 92, 43, -9, -9, 
-63, -97, -34, 80, -14, -65, 58, 68, 82, 48, -9, 0, 
-107, -141, -34, 124, -36, -87, 43, 43, 43, 9, -43, -39, 
-97, -161, -63, 129, -17, -112, 39, 39, 58, 9, -34, -24, 
-58, -131, -73, 95, 7, -102, 34, 48, 63, 0, -43, -34, 
29, -53, -82, 12, 56, -68, 34, 43, 97, 19, -24, -19, 
78, -4, -82, -36, 80, -43, 53, 82, 136, 39, -4, 0, 
48, -24, -73, -12, 61, -48, 53, 68, 112, 29, -29, -24, 
14, -48, -63, 17, 39, -56, 48, 73, 126, 48, -4, -9, 
24, -34, -58, 4, 41, -46, 58, 82, 122, 48, 0, -14, 
34, -9, -43, -12, 39, -26, 53, 78, 136, 73, 34, 9, 
58, 0, -58, -29, 58, -29, 58, 92, 161, 87, 48, 29, 
53, -4, -58, -24, 56, -31, 53, 82, 141, 73, 39, 9, 
9, -43, -53, 17, 31, -48, 53, 73, 151, 73, 48, 19, 
14, -29, -43, 7, 29, -36, 58, 73, 151, 48, 29, 14, 
9, -34, -43, 12, 26, -39, 53, 58, 146, 43, 19, 0, 
4, -43, -48, 19, 26, -46, 48, 63, 151, 43, 14, -14, 
0, -39, -39, 19, 19, -39, 53, 48, 151, 34, 0, -39, 
-9, -39, -29, 24, 9, -34, 63, 73, 185, 78, 34, 0, 
-4, -24, -19, 14, 7, -21, 78, 97, 195, 92, 43, 0, 
-9, -39, -29, 24, 9, -34, 58, 78, 195, 107, 58, 19, 
4, -34, -39, 14, 21, -36, 68, 97, 204, 112, 73, 39, 
0, -19, -19, 9, 9, -19, 68, 87, 209, 122, 73, 24, 
0, -19, -19, 9, 9, -19, 68, 87, 239, 151, 97, 63, 
48, -9, -58, -19, 53, -34, 58, 78, 214, 117, 63, 29, 
48, -24, -73, -12, 61, -48, 48, 68, 224, 112, 53, 34, 
34, -34, -68, 0, 51, -51, 58, 82, 234, 122, 53, 34, 
14, -34, -48, 9, 31, -41, 53, 63, 219, 107, 39, 9, 
-9, -29, -19, 19, 4, -24, 53, 78, 248, 126, 78, 48, 
-9, -4, 4, 7, -7, 0, 68, 87, 258, 141, 82, 43, 
-24, -24, 0, 24, -12, -12, 63, 73, 273, 161, 97, 63, 
-19, -19, 0, 19, -9, -9, 58, 97, 283, 161, 112, 82, 
-9, -19, -9, 14, 0, -14, 48, 82, 278, 156, 92, 58, 
0, -34, -34, 17, 17, -34, 58, 92, 297, 185, 117, 92, 
14, -24, -39, 4, 26, -31, 58, 92, 297, 165, 117, 82, 
34, -24, -58, -4, 46, -41, 39, 82, 307, 161, 102, 82, 
29, -9, -39, -9, 34, -24, 53, 78, 326, 180, 117, 82, 
43, 0, -43, -21, 43, -21, 53, 78, 326, 180, 112, 73, 
14, 0, -14, -7, 14, -7, 53, 97, 356, 214, 146, 102, 
-9, -24, -14, 17, 2, -19, 58, 78, 346, 214, 126, 73, 
-9, -48, -39, 29, 14, -43, 48, 82, 356, 229, 141, 87, 
0, -39, -39, 19, 19, -39, 43, 97, 380, 253, 180, 117, 
-9, -34, -24, 21, 7, -29, 43, 92, 400, 263, 180, 112, 
9, -24, -34, 7, 21, -29, 43, 112, 439, 307, 214, 151, 
63, 24, -39, -43, 51, -7, 43, 102, 444, 302, 214, 151, 
82, 34, -48, -58, 65, -7, 34, 102, 468, 322, 229, 156, 
78, 43, -34, -61, 56, 4, 53, 117, 488, 346, 239, 165, 
63, 34, -29, -48, 46, 2, 58, 117, 512, 375, 258, 190, 
82, 48, -34, -65, 58, 7, 58, 122, 517, 385, 258, 185, 
87, 48, -39, -68, 63, 4, 48, 107, 531, 400, 263, 180, 
82, 58, -24, -70, 53, 17, 58, 112, 541, 414, 278, 190, 
82, 63, -19, -73, 51, 21, 34, 107, 546, 439, 283, 175, 
58, 58, 0, -58, 29, 29, 48, 107, 575, 463, 297, 209, 
58, 48, -9, -53, 34, 19, 58, 117, 590, 478, 307, 209, 
19, 14, -4, -17, 12, 4, 48, 112, 610, 497, 331, 229, 
4, 4, 0, -4, 2, 2, 68, 126, 644, 522, 346, 244, 
19, -9, -29, -4, 24, -19, 58, 117, 649, 531, 341, 234, 
34, 14, -19, -24, 26, -2, 43, 126, 673, 551, 370, 258, 
63, 43, -19, -53, 41, 12, 39, 126, 692, 575, 385, 268, 
24, 9, -14, -17, 19, -2, 34, 102, 692, 590, 385, 268, 
78, 58, -19, -68, 48, 19, 34, 117, 727, 610, 419, 297, 
146, 126, -19, -136, 82, 53, 39, 136, 766, 649, 463, 336, 
131, 146, 14, -139, 58, 80, 48, 146, 790, 692, 492, 370, 
136, 156, 19, -146, 58, 87, 53, 136, 805, 702, 507, 375, 
112, 136, 24, -124, 43, 80, 48, 136, 814, 712, 527, 390, 
107, 126, 19, -117, 43, 73, 43, 136, 834, 722, 531, 409, 
112, 122, 9, -117, 51, 65, 34, 141, 854, 741, 551, 414, 
78, 112, 34, -95, 21, 73, 34, 141, 868, 771, 585, 439, 
92, 126, 34, -109, 29, 80, 29, 131, 868, 771, 580, 424, 
92, 131, 39, -112, 26, 85, 9, 112, 868, 790, 585, 434, 
87, 136, 48, -112, 19, 92, 0, 117, 883, 810, 600, 453, 
102, 136, 34, -119, 34, 85, -14, 102, 878, 814, 610, 458, 
78, 141, 63, -109, 7, 102, -9, 117, 893, 824, 639, 478, 
82, 141, 58, -112, 12, 100, -9, 102, 902, 839, 639, 473, 
63, 117, 53, -90, 4, 85, -29, 87, 893, 829, 639, 473, 
102, 151, 48, -126, 26, 100, -14, 117, 922, 844, 678, 507, 
122, 190, 68, -156, 26, 129, -19, 122, 936, 854, 697, 507, 
122, 200, 78, -161, 21, 139, -19, 117, 936, 863, 717, 546, 
165, 219, 53, -192, 56, 136, -29, 112, 927, 858, 712, 536, 
117, 185, 68, -151, 24, 126, -58, 87, 907, 849, 697, 517, 
117, 195, 78, -156, 19, 136, -58, 87, 893, 849, 697, 527, 
146, 219, 73, -183, 36, 146, -78, 68, 878, 839, 697, 517, 
136, 219, 82, -178, 26, 151, -73, 68, 873, 844, 712, 536, 
170, 253, 82, -212, 43, 168, -68, 78, 849, 834, 702, 527, 
170, 253, 82, -212, 43, 168, -78, 68, 834, 829, 712, 541, 
136, 239, 102, -187, 17, 170, -73, 68, 814, 814, 712, 541, 
97, 200, 102, -148, -2, 151, -87, 39, 785, 785, 678, 502, 
73, 185, 112, -129, -19, 148, -92, 29, 746, 766, 678, 512, 
102, 200, 97, -151, 2, 148, -92, 39, 717, 732, 649, 492, 
97, 204, 107, -151, -4, 156, -97, 29, 683, 707, 629, 478, 
97, 219, 122, -158, -12, 170, -92, 24, 634, 683, 610, 468, 
82, 190, 107, -136, -12, 148, -117, 4, 580, 634, 551, 424, 
14, 122, 107, -68, -46, 114, -122, -14, 522, 580, 507, 390, 
53, 151, 97, -102, -21, 124, -107, -9, 497, 551, 478, 366, 
92, 185, 92, -139, 0, 139, -102, 9, 488, 527, 473, 370, 
122, 214, 92, -168, 14, 153, -87, 14, 453, 502, 448, 366, 
151, 224, 73, -187, 39, 148, -78, 19, 429, 468, 414, 331, 
141, 204, 63, -173, 39, 134, -107, -24, 351, 385, 336, 268, 
48, 122, 73, -85, -12, 97, -107, -34, 297, 346, 292, 234, 
-4, 92, 97, -43, -51, 95, -87, -24, 263, 326, 268, 209, 
